rut_completo,razon_social,n_trabajadores,comuna,region,subrubro,encaje_probable,por_que_encaja,web,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,senal_dolor,confianza,fuente_url
76086778-0,SOCIEDAD DE SALUD LOS GUINDOS LIMITADA,81,BUIN,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76421185-5,ORGANISMO TECNICO DE CAPACITACION ASOCIACION CHILENA DE SEGURIDAD S.A,81,PROVIDENCIA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
96815130-4,TRUCK TRAILER PARTS SOCIEDAD ANONIMA,81,PUDAHUEL,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
71086700-3,ASOC DE PADRES Y AMIGOS DE LOS AUTISTAS,80,SAN MIGUEL,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76247993-1,ORGANISMO TECNICO DE CAPACITACION INSTITUTO CHILENO NORTEAMERICANO LIMITADA,80,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76717691-0,DMOOV SPA,80,LO BARNECHEA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76945386-5,AUTOMOTORA MELHUISH SPA,80,PENALOLEN,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
77126073-K,MONTE CARLO ACADEMY SPA,80,LAS CONDES,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
93217000-0,HINO CHILE SA,80,QUILICURA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
96870620-9,HONDA MOTOR DE CHILE S A,80,HUECHURABA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76425563-1,COMERCIALIZADORA GALMAR LIMITADA,79,SANTIAGO,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
77770430-3,DESARMADURIA COPIAPO Y COMPANIA LIMITADA,79,SANTIAGO,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
86617300-1,IMPORTADORA DE REPUESTOS RACO S A,79,SANTIAGO,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
96825800-1,COMERCIAL Y DISTRIBUIDORA BERTONATI S.A.,79,QUILICURA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
96952620-4,TAAG LABS S.A.,79,PUDAHUEL,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76453458-1,CENTRO DE LA VISION S.A.,78,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76724361-8,SERVICIOS PROFESIONALES ESTÉTICA DIGITAL SPA,78,MACUL,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76377424-4,VIDAVISION SA.,77,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76825048-0,SOCIEDAD DE PROFESIONALES C-DAR SPA,77,VITACURA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
