rut_completo,razon_social,n_trabajadores,comuna,subrubro,nombre_fantasia,web,tiene_whatsapp_web,canal_contacto,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,google_rating,google_resenas,senal_dolor,confianza,fuente_url,n,prioridad
85430500-K,CARTONI Y CARTONI S.A.,110,VINA DEL MAR,VENTA DE VEHICULOS AUTOMOTORES,Automotora Cartoni,https://www.cartoni.cl,si,"WhatsApp (+56 9 9624 4131 y +56 9 6844 2315), numero unico 600 381 2000 y formulario de 7 campos que exige RUT; el formulario obliga a elegir entre Taller / Reclamo a gerencia / Contabilidad",https://cl.linkedin.com/company/cartoni-y-cartoni-s-a-,,,,600 381 2000,,203,"12 sucursales por marca (Toyota, VW, Audi, Cupra, Seat, Skoda, MG, Geely, BYD, JMC, KGM, Seminuevos) detras de un solo 600 y 2 WhatsApp genericos; entre las 203 opiniones publicadas hay reclamos de presupuestos que nunca se enviaron",baja,https://www.cartoni.cl/m/sucursales,110,27
76697880-0,ATTON EL BOSQUE SPA,144,LAS CONDES,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,"Hotel Atton El Bosque (hoy operado como Pullman Santiago El Bosque, marca Accor)",all.accor.com,nd,nd - no tiene sitio propio; reservas y atencion pasan por la plataforma de Accor (all.accor.com) y por OTAs. No se pudo verificar telefono directo del hotel en fuente oficial,,,,,,,,"Perdio su sitio propio al pasar de marca Atton a Pullman/Accor: el huesped que busca 'Atton El Bosque' aterriza en decenas de OTAs y no en un canal del hotel, y no hay WhatsApp ni telefono directo publicado",baja,https://www.centraldereservas.com/hoteles/chile/santiago-de-chile/santiago-de-chile/pullman-santiago-el-bosque-ex-atton,144,20
76089546-6,GABEFAR CHILE SPA,140,SANTIAGO,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Prune (marroquineria y accesorios),prune.cl,nd,nd - no se pudo leer el sitio (bloquea rastreo). SERNAC registra la marca 'Prune' bajo esta razon social en la categoria 'Vestuario y similares',,,,,,,,"Opera la marca retail Prune pero la razon social no aparece en ningun canal publico: SERNAC es la unica fuente que enlaza 'Gabefar chile spa' con 'prune', asi que el cliente que reclama no sabe a quien le compro",baja,https://www.sernac.cl/portal/619/w3-article-27383.html,140,19
76425126-1,TOSHI SPA,132,HUECHURABA,ACTIVIDADES DEPORTIVAS,Huachipato (Huachipato S.A.D.P. / Huachipato FC),,nd,Unico dato publico es el telefono 41 282 4100 asociado al domicilio CMF en Talcahuano; la oficina tributaria esta en Huechuraba. No se identifico sitio propio vigente,,,,,+56 41 282 4100,,,"El RUT 76.425.126-1 aparece en el Diario Oficial como HUACHIPATO S.A.D.P. y hoy figura ante el SII como TOSHI SpA con oficina en Huechuraba, mientras el telefono publicado sigue siendo el de Talcahuano: dos domicilios, dos nombres y ningun canal de hincha",baja,https://www.portalchile.org/empresa/toshi-spa-76425126,132,19
96885670-7,COMERCIAL INGERSOLL RAND (CHILE) LIMITADA,103,CONCHALI,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Ingersoll Rand Chile,irco.com/es-cl,nd,"Sin sitio ni pagina de contacto local: solo el portal corporativo global de Ingersoll Rand (formulario global, seleccion de pais)",,,,,,,,"filial 100% de Hussmann Netherlands B.V. sin web ni telefono local en Chile: cliente chileno con 3 instalaciones (Conchali, Antofagasta, Hualpen) debe pasar por un formulario corporativo global en ingles",baja,https://www.portalchile.org/empresa/comercial-ingersoll-rand-chile-limitada-96885670,103,17
76102404-3,HAUSTEK S.A.,111,LA PINTANA,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Haustek (La Ventana de Chile / Winhouse Chile),haustek.cl,si,2 numeros de WhatsApp distintos en la misma home (wa.me/+56985570650 y wa.me/56989576498) + un mailto a un correo @gmail.com; sin fono fijo publicado,,,,,,,,"La home publica 2 WhatsApp moviles distintos y el unico mailto del HTML es un correo personal @gmail.com (josefinagaete@gmail.com); ademas la marca esta partida en 3 sitios (haustek.cl, winhouse-chile.cl, somoslaventanadechile.cl)",baja,https://haustek.cl/,111,17
76116569-0,INMOBILIARIA NUEVA APOQUINDO SPA,142,LAS CONDES,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,,,nd,nd - no se identifico marca ni sitio publico bajo esta razon social,,,,,,,,"giro SII 'Actividades de Hoteles' en O'Connell 165, 100% propiedad de Hoteleria de los Andes S.A. (operador Accor en Chile: marcas registradas NOVOTEL, #811 COFFEE & WORK, OLIVIA). No se logro identificar la marca publica del hotel: sin sitio, sin telefono y sin ficha propia. Verificar en terreno antes de llamar",baja,https://www.portalchile.org/empresa/hoteleria-de-los-andes-sa-96870370,142,9
76421171-5,INVERSIONES DEL NORTE LIMITADA,134,SANTIAGO,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,,,nd,"No se identifico sitio web, correo ni telefono publico; la atencion depende del meson de cada local",,,,,,,,"26 locales de joyeria, bisuteria y relojeria registrados en el SII entre Arica y Ovalle (Iquique tiene 4, Calama 3, Antofagasta 4) sin ningun sitio web ni canal digital: cero trazabilidad de la atencion entre tiendas",baja,https://www.portalchile.org/empresa/inversiones-del-norte-limitada-76421171,134,9
76002691-3,LMS CHILE SPA,119,VITACURA,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,,,nd,nd - opera tiendas de marcas de terceros; sin sitio ni canal propio identificado,,,,,,,,16 sucursales de perfumeria/cosmetica/joyeria en Santiago e Iquique operando sin sitio ni canal de contacto propio: es filial 100% de LS Lux Distribution Chile SpA y toda la atencion queda en las marcas que representa,baja,https://www.portalchile.org/empresa/lms-chile-spa-76002691,119,8
79749170-5,SOC ANALISIS QUIMICO CLINICOS LIMITADA,102,VINA DEL MAR,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,,,nd,nd - no se identifico sitio web bajo esta razon social,,,,,,,,"cadena de laboratorio clinico con 22 sucursales registradas en el SII en toda la V Region (Vina, Valparaiso, Villa Alemana, La Calera, Concon) y ninguna marca ni sitio web identificable: paciente que quiere agendar un examen no tiene canal digital unico",baja,https://www.portalchile.org/empresa/soc-analisis-quimico-clinicos-limitada-79749170,102,7
99575470-3,SERVICIOS INDUSTRIALES MINARDI S A,111,LOS ANDES,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES,,,nd,"nd - no se encontro sitio, redes ni telefono publicado",,,,,,,,"Taller de mantencion y reparacion de vehiculos en Los Andes con 111 trabajadores y cero presencia digital: no tiene sitio web, ni redes, ni telefono publicado en directorios abiertos",baja,https://www.chileguia.cl/detalle/servicios-industriales-minardi-s-a-los-andes-830542,111,7
86036500-6,BECKER HERMANOS Y CIA LTDA,109,SANTIAGO,VENTA AL POR MAYOR DE ENSERES DOMESTICOS,La Mundial,,nd,No se encontro sitio web ni telefono publico. Solo local fisico en San Pablo 3112 (Quinta Normal); aparece en SERNAC bajo el nombre de fantasia 'La Mundial',,,,,,,,"Tiene giro registrado de 'venta al por menor por correo, internet y via telefonica' pero no se le encuentra sitio web, correo ni WhatsApp publicos; 109 trabajadores atendiendo solo en mesón",baja,https://www.sernac.cl/portal/619/w3-article-46500.html,109,7
79710740-9,SOPORTE Y PROYECTOS EN COMPUTACION LIMITADA,103,LA REINA,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",,,nd,nd - no verificado,,,,,,,,"Razon social sin marca publica confirmada. La sigla y el giro apuntan al grupo SP Digital (retail de computacion), pero SP Digital opera bajo 'Comercializadora SP Digital SpA' RUT 76.799.430 y su sitio bloquea el acceso automatizado (Cloudflare 403). NO llamar preguntando por SP Digital sin verificar antes",baja,https://www.portalchile.org/empresa/soporte-y-proyectos-en-computacion-limitada-79710740,103,7
96532660-K,ADMINISTRADORA PARQUE DEL MAR S A,104,CON CON,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,Parque del Mar (cementerio parque y servicios funerarios),,nd,nd - no se encontro sitio web activo; parquedelmar.cl no resuelve DNS,,,,,,,,"cementerio parque y funeraria con 104 trabajadores y 3 recintos (C. Internacional 5700 Concon, 6 Norte 655 Vina del Mar, Camino La Polvora 2566 Valparaiso) sin ningun sitio web activo: parquedelmar.cl no resuelve. Un servicio de urgencia 24/7 sin canal digital",baja,https://www.portalchile.org/empresa/administradora-parque-del-mar-s-a-96532660,104,7
76261905-9,CENTRO MEDICO LOS ANDES DE PUERTO MONTT SPA,109,PUERTO MONTT,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,,,nd,No se encontro sitio web ni telefono publico verificable. Solo existe una cuenta de Instagram (@centromedico.losandes) sin datos de contacto accesibles,,,,,,,,"Centro medico de 109 trabajadores sin sitio web ni telefono publico localizable; el unico rastro digital es una cuenta de Instagram. NO CONFIRMADO: no es la Clinica Andes Salud Puerto Montt (esa esta en Bellavista 123, no 1240)",baja,https://www.portalchile.org/empresa/centro-medico-los-andes-de-puerto-mott-spa-76261905,109,7
76241803-7,SOCIEDAD PRESTADORA DE SERVICIOS DE SALUD DOMICILIARIO Y HOSPITALARIO SA,146,LAS CONDES,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,,,nd,"No se encontro sitio web, marca comercial ni telefono publico. La direccion (Las Tranqueras 283) corresponde a un inmueble sin POI comercial registrado",,,,,,,,"146 trabajadores y cero presencia publica: sin sitio web, sin marca de cara al paciente y sin telefono localizable. REVISAR ANTES DE LLAMAR: podria ser un prestador B2B (subcontrato a clinicas/isapres) sin atencion directa a clientes finales",baja,,146,-20
76480130-K,ICON CHILE LIMITADA,150,LAS CONDES,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,,,nd,"nd - no se encontro sitio, telefono ni correo publico asociado al RUT",,,,,,,,"DESCARTAR: sin identidad comercial publica verificable; giros SII mezclan 'asesoria y consultoria en inversion financiera' con 'servicios de salud prestados por empresas', domiciliada en un edificio de oficinas compartidas (Mariano Sanchez Fontecilla 310), sin canal de atencion a clientes finales",baja,https://www.portalchile.org/empresa/icon-chile-limitada-76480130,150,-90
76318106-5,INMOBILIARIA BALMACEDA SPA,136,LAS CONDES,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,,,nd,"nd - no tiene sitio ni telefono propio; SERNAC la asocia a los hoteles ibis / ibis budget Calama, cuya reserva y atencion pasa integramente por Accor",,,,,,,,DESCARTAR: sociedad inmobiliaria sin marca ni sitio propio; opera hoteles bajo franquicia (SERNAC la lista como 'ibis e ibis budget Calama') y toda la atencion al huesped la controla Accor en all.accor.com,baja,https://www.sernac.cl/portal/619/w3-article-49763.html,136,-91
76530509-8,KARSHARING SPA,135,PROVIDENCIA,VENTA DE VEHICULOS AUTOMOTORES,Awto,,nd,Sin canal activo: la operacion de carsharing cerro y la sociedad figura como 'Karsharing SpA en Liquidacion',,,,,,,,"DESCARTAR: Awto ceso operaciones por falta de financiamiento y la sociedad Karsharing SpA se disolvio; publicacion en el Diario Oficial del 20/03/2026, hoy en liquidacion con comision liquidadora",baja,https://www.df.cl/df-mas/coffee-break/awto-disuelve-su-sociedad,135,-91
76411758-1,TI RED SPA,119,PROVIDENCIA,VENTA AL POR MENOR DE EQUIPO DE INFORMACION Y DE COMUNICACIONES EN COMERCIOS ESPECIALIZADOS,,,nd,"nd - sociedad intragrupo, sin canal de atencion publico",,,,,,,,"DESCARTAR: filial 99,98% de Empresas Red Salud S.A. (0,02% Inversiones La Construccion); sociedad de servicios intragrupo sin marca, sitio ni clientes finales",media,https://www.portalchile.org/empresa/ti-red-spa-76411758,119,-92
